price_main,title,rooms,area,floor,building_type,materials,year,district
1991600 грн,"вул. Депутатська, 32",2 кімнати,46 / 30 / 8 м²,поверх 2 з 5,хрущівка,цегляний будинок,1967,Академмістечко
3064000 грн,"вул. Доброхотова, 15",2 кімнати,57 / 29 / 9 м²,поверх 8 з 10,серія KП,цегляний будинок,1993,Академмістечко
3638500 грн,"просп. Палладіна, 24",3 кімнати,69 / 42 / 10 м²,поверх 1 з 9,серія 96,утеплена панель,1997,Академмістечко
3638500 грн,"просп. Палладіна, 24",3 кімнати,69 / 42 / 10 м²,поверх 4 з 9,серія 96,утеплена панель,1997,Академмістечко
7085500 грн,"бульв. Вернадського, 57",4 кімнати,163 / 86 / 12 м²,поверх 14 з 17,спец. проект,монолітно-каркасний,2004,Академмістечко
3025700 грн,"вул. Василя Стуса, 26",3 кімнати,69 / 40 / 8 м²,поверх 10 з 10,серія KП,цегляний будинок,1993,Академмістечко
5745000 грн,"бульв. Вернадського, 24",2 кімнати,65 / 33 / 13 м²,поверх 12 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
4787500 грн,"вул. Краснова, 19",2 кімнати,83 / 40 / 12 м²,поверх 12 з 17,спец. проект,монолітно-каркасний,2012,Академмістечко
5936500 грн,"просп. Палладіна, 18/30",3 кімнати,92 / 58 / 12 м²,поверх 14 з 16,спец. проект,цегляний будинок,2005,Академмістечко
3351250 грн,"вул. Краснова, 17",1 кімната,59.4 / 21.3 / 13.8 м²,поверх 8 з 16,спец. проект,монолітно-каркасний,2002,Академмістечко
2221400 грн,"бульв. Вернадського, 24",1 кімната,36.7 / 18.2 / 11.2 м²,поверх 17 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
2298000 грн,"просп. Перемоги, 106/2",4 кімнати,63 / 47 / 8 м²,поверх 4 з 5,хрущівка,цегляний будинок,1962,Академмістечко
2489500 грн,"просп. Перемоги, 116/1",2 кімнати,45 / 30 / 7 м²,поверх 5 з 9,чеський проект,панельні,1969,Академмістечко
938350 грн,"бульв. Вернадського, 63",1 кімната,23 / 13 / 4 м²,поверх 3 з 5,хрущівка,цегляний будинок,1962,Академмістечко
4710900 грн,"вул. Краснова, 19",3 кімнати,97.6 / 66.3 / 10.5 м²,поверх 2 з 17,спец. проект,монолітно-каркасний,2012,Академмістечко
4136400 грн,"вул. Хмельницька, 10",3 кімнати,91 / 52 / 12 м²,поверх 10 з 11,спец. проект,монолітно-каркасний,2003,Академмістечко
5362000 грн,"бульв. Вернадського, 24",3 кімнати,103 / 65 / 13.5 м²,поверх 12 з 24,спец. проект,монолітно-каркасний,2018,Академмістечко
2489500 грн,"пл. Святошинська, 1",1 кімната,48 / 16 / 13 м²,поверх 16 з 25,спец. проект,монолітно-каркасний,2006,Академмістечко
3136770 грн,"просп. Палладіна, 24",2 кімнати,54.6 / 31.1 / 7.6 м²,поверх 4 з 9,серія 96,утеплена панель,1997,Академмістечко
4481100 грн,"просп. Палладіна, 18/30",3 кімнати,81 / 48 / 10 м²,поверх 13 з 16,спец. проект,цегляний будинок,2005,Академмістечко
3787870 грн,"просп. Палладіна, 18/30",2 кімнати,64.3 / 33.4 / 12.4 м²,поверх 6 з 16,спец. проект,цегляний будинок,2005,Академмістечко
7506800 грн,"бульв. Вернадського, 24",4 кімнати,117 / 83 / 22 м²,поверх 16 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
2872500 грн,"бульв. Вернадського, 59",2 кімнати,61 / 40 / 15 м²,поверх 5 з 5,хрущівка,цегляний будинок,1961,Академмістечко
2566100 грн,"вул. Семашка, 16",3 кімнати,74 / 45 / 9 м²,поверх 10 з 16,серія КТ,утеплена панель,1982,Академмістечко
4979000 грн,"вул. Краснова, 17",3 кімнати,131 / 85 / 20 м²,поверх 10 з 18,спец. проект,монолітно-каркасний,2002,Академмістечко
2566100 грн,"бульв. Вернадського, 87",3 кімнати,68 / 45 / 8.5 м²,поверх 2 з 16,БПС,утеплена панель,1975,Академмістечко
3772550 грн,"вул. Василя Стуса, 26",3 кімнати,76 / 38 / 20 м²,поверх 1 з 10,серія KП,цегляний будинок,1993,Академмістечко
5936500 грн,"просп. Палладіна, 18/30",3 кімнати,83 / 50 / 15 м²,поверх 8 з 16,спец. проект,цегляний будинок,2005,Академмістечко
957500 грн,"бульв. Вернадського, 67",1 кімната,20 / 13 / 4 м²,поверх 1 з 5,хрущівка,цегляний будинок,1962,Академмістечко
2753770 грн,"бульв. Вернадського, 24",3 кімнати,87 / 53 / 13 м²,поверх 11 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
2183100 грн,"просп. Перемоги, 108/1",2 кімнати,46 / 31 / 6 м²,поверх 3 з 5,хрущівка,цегляний будинок,1961,Академмістечко
14362500 грн,"вул. Феодори Пушиної, 23",5 кімнат,236 / 176 / 13 м²,поверх 23 з 24,спец. проект,монолітно-каркасний,2004,Академмістечко
3906600 грн,"вул. Біличанська, 1",4 кімнати,95 / 48 / 8.4 м²,поверх 2 з 16,серія Т,утеплена панель,1993,Академмістечко
2029900 грн,"бульв. Вернадського, 24",2 кімнати,64.81 / 31.25 / 11.08 м²,поверх 3 з 20,спец. проект,монолітно-каркасний,2018,Академмістечко
4557700 грн,"пл. Святошинська, 1",2 кімнати,77 / 32 / 18 м²,поверх 3 з 25,спец. проект,монолітно-каркасний,2006,Академмістечко
2298000 грн,"вул. Семашка, 12",2 кімнати,60 / 30 / 8 м²,поверх 9 з 9,чеський проект,панельні,1972,Академмістечко
1378800 грн,"вул. Доброхотова, 4",2 кімнати,44 / 30 / 6 м²,поверх 5 з 5,хрущівка,цегляний будинок,1960,Академмістечко
3447000 грн,"бульв. Вернадського, 85",4 кімнати,98 / 65 / 7 м²,поверх 9 з 9,совмін,цегляний будинок,1973,Академмістечко
1493700 грн,"вул. Доброхотова, 7",1 кімната,33 / - / 5 м²,поверх 8 з 9,гостинка,цегляний будинок,1972,Академмістечко
1915000 грн,"бульв. Вернадського, 24",3 кімнати,72.3 / - / 17.22 м²,поверх 3 з 25,спец. проект,монолітно-каркасний,2018,Академмістечко
2680962 грн,"бульв. Вернадського, 85",3 кімнати,75 / - / 8 м²,поверх 4 з 9,совмін,цегляний будинок,1973,Академмістечко
2298000 грн,"просп. Палладіна, 18/30",1 кімната,42.1 / - / 11.5 м²,поверх 13 з 18,спец. проект,цегляний будинок,2005,Академмістечко
2681000 грн,"бульв. Вернадського, 24",2 кімнати,71 / - / 13 м²,поверх 10 з 23,спец. проект,монолітно-каркасний,2018,Академмістечко
2489500 грн,"вул. Доброхотова, 17",2 кімнати,55 / - / 9 м²,поверх 13 з 16,серія Т,утеплена панель,1995,Академмістечко
2604400 грн,"бульв. Вернадського, 24",2 кімнати,58.18 / - / 10.61 м²,поверх 21 з 11,спец. проект,монолітно-каркасний,2018,Академмістечко
1723500 грн,"бульв. Вернадського, 87",2 кімнати,46 / - / 8 м²,поверх 15 з 16,БПС,утеплена панель,1975,Академмістечко
1417100 грн,"вул. Доброхотова, 28",1 кімната,28 / - / 5 м²,поверх 5 з 5,гостинка,цегляний будинок,1968,Академмістечко
12000 грн,"вул. Доброхотова, 3",1 кімната,26 / - / 6 м²,поверх 7 з 9,гостинка,цегляний будинок,1978,Академмістечко
6319500 грн,"просп. Палладіна, 18/30",3 кімнати,92 / - / 12 м²,поверх 14 з 16,спец. проект,цегляний будинок,2005,Академмістечко
7085500 грн,"бульв. Вернадського, 57",4 кімнати,163 / - / 12 м²,поверх 14 з 17,спец. проект,монолітно-каркасний,2004,Академмістечко
4136400 грн,"вул. Хмельницька, 10",3 кімнати,91 / - / 12 м²,поверх 10 з 11,спец. проект,монолітно-каркасний,2003,Академмістечко
1417100 грн,"вул. Доброхотова, 28",1 кімната,36 / - / 4 м²,поверх 1 з 9,гостинка,цегляний будинок,1968,Академмістечко
4710900 грн,"вул. Краснова, 19",3 кімнати,97.6 / - / 10.5 м²,поверх 2 з 17,спец. проект,монолітно-каркасний,2012,Академмістечко
3178900 грн,"вул. Феодори Пушиної, 2",3 кімнати,76 / - / 8 м²,поверх 7 з 16,серія КТ,утеплена панель,1987,Академмістечко
2068200 грн,"вул. Депутатська, 21",2 кімнати,46 / - / 6 м²,поверх 3 з 5,хрущівка,цегляний будинок,1964,Академмістечко
5936500 грн,"просп. Палладіна, 18/30",3 кімнати,83 / - / 25 м²,поверх 8 з 16,спец. проект,цегляний будинок,2005,Академмістечко
2259700 грн,"бульв. Вернадського, 87а",2 кімнати,45 / - / 8 м²,поверх 13 з 16,БПС,утеплена панель,1975,Академмістечко
2604400 грн,"бульв. Вернадського, 24",2 кімнати,57 / - / 11.4 м²,поверх 8 з 19,спец. проект,монолітно-каркасний,2018,Академмістечко
2068200 грн,"вул. Депутатська, 21",2 кімнати,46 / - / 6 м²,поверх 3 з 5,хрущівка,цегляний будинок,1964,Академмістечко
2757600 грн,"бульв. Вернадського, 57",1 кімната,45 / - / 12 м²,поверх 2 з 7,спец. проект,монолітно-каркасний,2004,Академмістечко
6511000 грн,"вул. Феодори Пушиної, 19",3 кімнати,100 / - / 12 м²,поверх 10 з 24,спец. проект,монолітно-каркасний,2005,Академмістечко
2221400 грн,"бульв. Вернадського, 24",1 кімната,36.7 / - / 11 м²,поверх 17 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
4098100 грн,"бульв. Вернадського, 24",2 кімнати,64.7 / - / 12 м²,поверх 4 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
1627750 грн,"бульв. Вернадського, 24",1 кімната,43.33 / - / 11.53 м²,поверх 21 з 25,спец. проект,монолітно-каркасний,2018,Академмістечко
3121450 грн,"бульв. Вернадського, 85",3 кімнати,76 / - / 8 м²,поверх 3 з 9,совмін,цегляний будинок,1973,Академмістечко
2949100 грн,"вул. Василя Стуса, 28",3 кімнати,68 / - / 10 м²,поверх 10 з 10,серія KП,цегляний будинок,1992,Академмістечко
3676800 грн,"вул. Василя Стуса, 28",2 кімнати,58 / - / 9.3 м²,поверх 2 з 10,серія KП,цегляний будинок,1992,Академмістечко
1244750 грн,"вул. Доброхотова, 28",1 кімната,24.5 / - / 4 м²,поверх 3 з 5,гостинка,цегляний будинок,1968,Академмістечко
1206450 грн,"вул. Доброхотова, 7",1 кімната,23 / - / 5 м²,поверх 4 з 9,гостинка,цегляний будинок,1972,Академмістечко
4787500 грн,"просп. Палладіна, 20",3 кімнати,93 / - / 13 м²,поверх 14 з 22,спец. проект,монолітно-каркасний,2005,Академмістечко
746850 грн,"Приладний пров., 4",1 кімната,20 / - / 5 м²,поверх 3 з 5,гостинка,цегляний будинок,1969,Академмістечко
1417100 грн,"бульв. Вернадського, 24",1 кімната,23 / - / 5 м²,поверх 17 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
7621700 грн,"вул. Біличанська, 1",4 кімнати,100 / - / 14 м²,поверх 15 з 16,серія Т,утеплена панель,1993,Академмістечко
2489500 грн,"вул. Феодори Пушиної, 19",1 кімната,45 / - / 11 м²,поверх 22 з 24,спец. проект,монолітно-каркасний,2005,Академмістечко
5706700 грн,"бульв. Вернадського, 5/19",3 кімнати,75 / - / 8 м²,поверх 4 з 5,сталінка,цегляний будинок,1958,Академмістечко
7277000 грн,"бульв. Вернадського, 57",3 кімнати,100 / - / 18.4 м²,поверх 5 з 16,спец. проект,монолітно-каркасний,2004,Академмістечко
1149000 грн,"вул. Доброхотова, 5",1 кімната,22 / - / 5 м²,поверх 1 з 9,гостинка,цегляний будинок,1973,Академмістечко
1895850 грн,"вул. Доброхотова, 3",1 кімната,26 / - / 6 м²,поверх 7 з 9,гостинка,цегляний будинок,1978,Академмістечко
4596000 грн,"просп. Палладіна, 22",3 кімнати,84 / - / 11 м²,поверх 17 з 23,спец. проект,монолітно-каркасний,2005,Академмістечко
3676800 грн,"вул. Василя Стуса, 28",2 кімнати,58 / - / 9.3 м²,поверх 2 з 10,серія KП,цегляний будинок,1992,Академмістечко
2336300 грн,"бульв. Вернадського, 24",2 кімнати,66.72 / - / 13.48 м²,поверх 13 з 25,спец. проект,монолітно-каркасний,2018,Академмістечко
4979000 грн,"вул. Краснова, 17",3 кімнати,131.5 / - / 20 м²,поверх 10 з 18,спец. проект,монолітно-каркасний,2002,Академмістечко
4404500 грн,"бульв. Вернадського, 24",3 кімнати,100 / - / 13 м²,поверх 2 з 26,спец. проект,монолітно-каркасний,2018,Академмістечко
3447000 грн,"бульв. Вернадського, 24",1 кімната,57.4 / - / 13.5 м²,поверх 17 з 17,спец. проект,монолітно-каркасний,2018,Академмістечко
3600200 грн,"просп. Палладіна, 24",3 кімнати,69 / - / 8 м²,поверх 3 з 9,серія 96,утеплена панель,1997,Академмістечко
1532000 грн,"вул. Семашка, 12",1 кімната,35 / - / 7 м²,поверх 3 з 9,чеський проект,панельні,1972,Академмістечко
1340500 грн,"вул. Депутатська, 25",1 кімната,26 / - / 4 м²,поверх 1 з 5,гостинка,цегляний будинок,1964,Академмістечко
2987400 грн,"Моторний пров., 11а",2 кімнати,71 / 36 / 10 м²,поверх 25 з 25,спец. проект,панельні,2019,Багринова гора
2872500 грн,"просп. Науки, 55а",1 кімната,50 / 20 / 11 м²,поверх 25 з 25,АППС,утеплена панель,2014,Багринова гора
4596000 грн,"просп. Науки, 69",2 кімнати,86 / 38 / 12 м²,поверх 8 з 25,спец. проект,монолітно-каркасний,2008,Багринова гора
3944900 грн,"Моторний пров., 9а",2 кімнати,65 / 33 / 11.1 м²,поверх 18 з 25,спец. проект,монолітно-каркасний,2013,Багринова гора
3255500 грн,"Моторний пров., 11а",2 кімнати,70.3 / 37 / 10 м²,поверх 21 з 25,спец. проект,панельні,2019,Багринова гора
2010750 грн,"просп. Науки, 63",1 кімната,39 / 19.2 / 5 м²,поверх 2 з 5,сталінка,цегляний будинок,1960,Багринова гора
5170500 грн,"Моторний пров., 9а",3 кімнати,92 / 11 / 50 м²,поверх 5 з 23,спец. проект,монолітно-каркасний,2013,Багринова гора
2872500 грн,"просп. Науки, 55а",1 кімната,50 / - / 10 м²,поверх 25 з 25,АППС,утеплена панель,2014,Багринова гора
2566100 грн,"Моторний пров., 11а",1 кімната,42 / - / 9.2 м²,поверх 24 з 25,спец. проект,панельні,2019,Багринова гора
2010750 грн,"просп. Науки, 63",1 кімната,39 / - / 9 м²,поверх 2 з 5,сталінка,цегляний будинок,1960,Багринова гора
5170500 грн,"Моторний пров., 9",3 кімнати,92 / - / 11 м²,поверх 4 з 24,спец. проект,монолітно-каркасний,2013,Багринова гора
6587600 грн,"вул. Лєвітана, 3",4 кімнати,127 / - / 33 м²,26-поверховий будинок,спец. проект,монолітно-каркасний,2009,Багринова гора
4596000 грн,"просп. Науки, 69",2 кімнати,86 / - / 12 м²,поверх 8 з 25,спец. проект,монолітно-каркасний,2008,Багринова гора
3063962 грн,"Моторний пров., 5/7",3 кімнати,65 / - / 7.2 м²,поверх 1 з 10,серія KП,цегляний будинок,1998,Багринова гора
3791700 грн,"просп. Науки, 69",3 кімнати,105 / - / 20 м²,поверх 24 з 25,спец. проект,монолітно-каркасний,2008,Багринова гора
2872500 грн,"Моторний пров., 9а",1 кімната,50 / - / 14.9 м²,поверх 16 з 25,спец. проект,монолітно-каркасний,2013,Багринова гора
2757600 грн,"Моторний пров., 11а",1 кімната,43 / - / 9.5 м²,поверх 15 з 25,спец. проект,панельні,2019,Багринова гора
3255500 грн,"Дніпровська наб., 7а",3 кімнати,62 / 47 / 15 м²,поверх 9 з 9,чеський проект,панельні,1972,Березняки
1528170 грн,"Дніпровська наб., 11а",1 кімната,32 / 19 / 5.4 м²,поверх 8 з 9,чеський проект,панельні,1972,Березняки
3044850 грн,"вул. Юрія Шумського, 8а",3 кімнати,73 / 48 / 8 м²,поверх 8 з 9,чеський проект,панельні,1972,Березняки
5936500 грн,"Дніпровська наб., 1",1 кімната,60 / 15 / 8 м²,поверх 14 з 23,спец. проект,монолітно-каркасний,2007,Березняки
2489500 грн,"просп. Павла Тичини, 19",3 кімнати,60 / 40 / 7 м²,поверх 8 з 9,чеський проект,панельні,1969,Березняки
1742650 грн,"вул. Березняківська, 24",2 кімнати,50 / 31 / 8 м²,поверх 6 з 9,чеський проект,панельні,1971,Березняки
2489500 грн,"вул. Миколайчука, 9",2 кімнати,43 / 24 / 7 м²,поверх 7 з 9,чеський проект,панельні,1968,Березняки
1857550 грн,"вул. Березняківська, 6",3 кімнати,63 / 43 / 7 м²,поверх 1 з 9,чеський проект,панельні,1969,Березняки
3447000 грн,"просп. Павла Тичини, 4",3 кімнати,71 / 41.2 / 9 м²,поверх 14 з 18,спец. проект,цегляний будинок,2001,Березняки
6511000 грн,"вул. Юрія Шумського, 3г",2 кімнати,75 / 40 / 20 м²,поверх 25 з 26,спец. проект,монолітно-каркасний,2013,Березняки
2106500 грн,"вул. Миколайчука, 17/2",4 кімнати,64 / 40 / 7 м²,поверх 1 з 9,чеський проект,панельні,1968,Березняки
4596000 грн,"вул. Юрія Шумського, 3г",1 кімната,50 / 30 / 5 м²,поверх 19 з 23,спец. проект,монолітно-каркасний,2013,Березняки
4596000 грн,"просп. Павла Тичини, 16/2",3 кімнати,118 / 31.5 / 46 м²,поверх 15 з 16,спец. проект,монолітно-каркасний,2000,Березняки
1915000 грн,"просп. Павла Тичини, 5а",3 кімнати,60 / 40 / 7 м²,поверх 1 з 9,чеський проект,панельні,1969,Березняки
1915000 грн,"просп. Павла Тичини, 9",2 кімнати,43 / 26 / 6 м²,поверх 6 з 9,чеський проект,панельні,1968,Березняки
1646900 грн,"вул. Березняківська, 34б",1 кімната,22 / 13 / 4 м²,поверх 3 з 9,гостинка,цегляний будинок,1973,Березняки
3753400 грн,"вул. Юрія Шумського, 5",3 кімнати,66 / 30 / 22 м²,поверх 4 з 27,спец. проект,монолітно-каркасний,2012,Березняки
2795900 грн,"вул. Березняківська, 14а",3 кімнати,73 / 42 / 12 м²,поверх 7 з 9,чеський проект,панельні,1970,Березняки
1953300 грн,"вул. Миколайчука, 15",3 кімнати,62 / 40 / 8 м²,поверх 9 з 9,чеський проект,панельні,1968,Березняки
3715100 грн,"просп. Павла Тичини, 18б",1 кімната,55 / 19 / 20 м²,поверх 21 з 25,спец. проект,монолітно-каркасний,2010,Березняки
1551150 грн,"вул. Березняківська, 14",1 кімната,33 / 17 / 6 м²,поверх 1 з 9,чеський проект,панельні,1970,Березняки
3753400 грн,"вул. Юрія Шумського, 3г",1 кімната,50.3 / 40.5 / 9.8 м²,поверх 23 з 26,спец. проект,монолітно-каркасний,2013,Березняки
3389550 грн,"Дніпровська наб., 13",3 кімнати,70 / 41 / 9 м²,поверх 3 з 19,спец. проект,цегляний будинок,1993,Березняки
1187300 грн,"вул. Березняківська, 36г",1 кімната,22 / 12.6 / 4.5 м²,поверх 1 з 9,гостинка,цегляний будинок,1972,Березняки
2106500 грн,"вул. Березняківська, 16",1 кімната,35 / 23 / 8 м²,поверх 15 з 16,БПС,утеплена панель,1972,Березняки
5247100 грн,"вул. Юрія Шумського, 3г",2 кімнати,65 / 40 / 13 м²,поверх 4 з 26,спец. проект,монолітно-каркасний,2013,Березняки
9575000 грн,"вул. Юрія Шумського, 5",3 кімнати,118 / 70 / 20 м²,поверх 26 з 27,спец. проект,монолітно-каркасний,2012,Березняки
3217200 грн,"просп. Павла Тичини, 20а",3 кімнати,71 / 40 / 11 м²,поверх 9 з 16,БПС,утеплена панель,1972,Березняки
1263900 грн,"вул. Березняківська, 36б",1 кімната,22.5 / 12.5 / 4.5 м²,поверх 5 з 9,гостинка,цегляний будинок,1972,Березняки
1876700 грн,"вул. Миколайчука, 21",2 кімнати,45 / 25.2 / 7.5 м²,поверх 7 з 9,чеський проект,панельні,1968,Березняки
11107000 грн,"Дніпровська наб., 1",4 кімнати,140.2 / 79.7 / 17.6 м²,поверх 20 з 31,спец. проект,монолітно-каркасний,2007,Березняки
3408700 грн,"просп. Павла Тичини, 8",3 кімнати,72 / 42 / 9 м²,поверх 7 з 18,спец. проект,цегляний будинок,1995,Березняки
2910800 грн,"просп. Павла Тичини, 20а",3 кімнати,70 / 44 / 8 м²,поверх 11 з 16,БПС,утеплена панель,1972,Березняки
7162100 грн,"Дніпровська наб., 1а",2 кімнати,88 / 60 / 25 м²,поверх 26 з 33,спец. проект,монолітно-каркасний,2009,Березняки
2868670 грн,"вул. Березняківська, 6",3 кімнати,61 / 43 / 7 м²,поверх 2 з 9,чеський проект,панельні,1969,Березняки
2489500 грн,"Дніпровська наб., 1",1 кімната,47.42 / 15.21 / 17.33 м²,поверх 2 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2183100 грн,"вул. Березняківська, 10",2 кімнати,48.4 / 29.7 / 6.9 м²,поверх 2 з 9,чеський проект,панельні,1970,Березняки
3791700 грн,"Дніпровська наб., 1",3 кімнати,99.31 / 42 / 23 м²,поверх 19 з 25,спец. проект,монолітно-каркасний,2007,Березняки
2298000 грн,"вул. Бучми, 6а",2 кімнати,46 / 25.2 / 7 м²,поверх 7 з 9,чеський проект,панельні,1967,Березняки
22572488 грн,"просп. Павла Тичини, 16/2",5 кімнат,424 / 95 / 62 м²,поверх 16 з 18,спец. проект,монолітно-каркасний,2000,Березняки
3826170 грн,"Дніпровська наб., 1",1 кімната,46.8 / 19.3 / 12 м²,поверх 27 з 30,спец. проект,монолітно-каркасний,2007,Березняки
1953300 грн,"вул. Миколайчука, 17",2 кімнати,45.1 / 26.4 / 7.9 м²,поверх 9 з 16,БПС,утеплена панель,1972,Березняки
1723500 грн,"вул. Бучми, 7",1 кімната,35 / 18.6 / 6 м²,поверх 7 з 9,чеський проект,панельні,1969,Березняки
1723500 грн,"вул. Березняківська, 6",2 кімнати,44 / 28 / 7 м²,поверх 1 з 9,чеський проект,панельні,1969,Березняки
3178900 грн,"вул. Юрія Шумського, 5",1 кімната,49 / 17 / 12 м²,поверх 18 з 25,спец. проект,монолітно-каркасний,2012,Березняки
3064000 грн,"вул. Юрія Шумського, 5",1 кімната,43 / 16 / 12 м²,поверх 9 з 27,спец. проект,монолітно-каркасний,2012,Березняки
2681000 грн,"вул. Бучми, 7",3 кімнати,75.3 / 47.9 / 7.4 м²,поверх 8 з 9,чеський проект,панельні,1969,Березняки
2259700 грн,"Дніпровська наб., 9а",3 кімнати,62 / 46 / 6.7 м²,поверх 7 з 9,чеський проект,панельні,1972,Березняки
2298000 грн,"вул. Березняківська, 6",1 кімната,38 / 8 / 7 м²,поверх 1 з 9,чеський проект,панельні,1969,Березняки
2757600 грн,"вул. Юрія Шумського, 5",1 кімната,45 / 16.3 / 12.7 м²,поверх 5 з 27,спец. проект,монолітно-каркасний,2012,Березняки
2336300 грн,"просп. Павла Тичини, 5",2 кімнати,58.3 / 24.3 / 12 м²,поверх 4 з 9,чеський проект,панельні,1969,Березняки
2527800 грн,"Дніпровська наб., 1",1 кімната,47 м²,поверх 12 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2872500 грн,"Дніпровська наб., 1",1 кімната,54 м²,поверх 13 з 26,спец. проект,монолітно-каркасний,2007,Березняки
4404500 грн,"Дніпровська наб., 1",2 кімнати,71 м²,поверх 3 з 26,спец. проект,монолітно-каркасний,2007,Березняки
4213000 грн,"Дніпровська наб., 1",2 кімнати,74 м²,поверх 15 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2987400 грн,"Дніпровська наб., 1",1 кімната,55 м²,поверх 12 з 26,спец. проект,монолітно-каркасний,2007,Березняки
3791700 грн,"Дніпровська наб., 1",2 кімнати,74 м²,поверх 4 з 26,спец. проект,монолітно-каркасний,2007,Березняки
4213000 грн,"Дніпровська наб., 1",2 кімнати,77 м²,поверх 12 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2681000 грн,"Дніпровська наб., 1",1 кімната,47.07 м²,поверх 16 з 26,спец. проект,монолітно-каркасний,2007,Березняки
3447000 грн,"Дніпровська наб., 1",2 кімнати,72 м²,поверх 3 з 26,спец. проект,монолітно-каркасний,2007,Березняки
3695950 грн,"Дніпровська наб., 1",2 кімнати,71 м²,поверх 20 з 26,спец. проект,монолітно-каркасний,2007,Березняки
3707440 грн,"Дніпровська наб., 1",2 кімнати,76 м²,поверх 7 з 26,спец. проект,монолітно-каркасний,2007,Березняки
3064000 грн,"Дніпровська наб., 1",1 кімната,55.12 / - / 15 м²,поверх 6 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2221400 грн,"вул. Березняківська, 6",3 кімнати,59 / 48 / 7 м²,поверх 6 з 9,чеський проект,панельні,1969,Березняки
4979000 грн,"Дніпровська наб., 1",3 кімнати,89 / 43 / 20 м²,поверх 18 з 26,спец. проект,монолітно-каркасний,2007,Березняки
2029900 грн,"вул. Березняківська, 14",2 кімнати,51 / - / 5 м²,поверх 1 з 9,чеський проект,панельні,1970,Березняки
2681000 грн,"вул. Миколайчука, 3/1",3 кімнати,65 / - / 10 м²,поверх 9 з 9,чеський проект,панельні,1968,Березняки
3389550 грн,"Дніпровська наб., 13",3 кімнати,70 / - / 9 м²,поверх 3 з 19,спец. проект,цегляний будинок,1993,Березняки
12639000 грн,"вул. Юрія Шумського, 1",5 кімнат,282 / - / 50 м²,поверх 24 з 25,спец. проект,монолітно-каркасний,2007,Березняки
11490000 грн,"Дніпровська наб., 1",4 кімнати,210 / - / 25 м²,поверх 30 з 31,спец. проект,монолітно-каркасний,2007,Березняки
7162100 грн,"Дніпровська наб., 1",2 кімнати,68.2 / - / 12 м²,поверх 18 з 32,спец. проект,монолітно-каркасний,2007,Березняки
6894000 грн,"вул. Юрія Шумського, 3г",1 кімната,75 / - / 20 м²,поверх 25 з 25,спец. проект,монолітно-каркасний,2013,Березняки
2298000 грн,"вул. Березняківська, 6",3 кімнати,64 / - / 7 м²,поверх 2 з 9,чеський проект,панельні,1969,Березняки
2183100 грн,"вул. Березняківська, 20",2 кімнати,50 / - / 8 м²,поверх 7 з 9,чеський проект,панельні,1971,Березняки
2336300 грн,"просп. Павла Тичини, 6",1 кімната,37 / - / 6.3 м²,поверх 9 з 18,спец. проект,цегляний будинок,1982,Березняки
12639000 грн,"вул. Юрія Шумського, 1",5 кімнат,282 / - / 60 м²,поверх 24 з 25,спец. проект,монолітно-каркасний,2007,Березняки
2102670 грн,"Дніпровська наб., 9а",3 кімнати,60 / - / 6 м²,поверх 2 з 9,чеський проект,панельні,1972,Березняки
2259700 грн,"Дніпровська наб., 9а",3 кімнати,65 / - / 6 м²,поверх 7 з 9,чеський проект,панельні,1972,Березняки
4289600 грн,"Дніпровська наб., 3",2 кімнати,71 / - / 22 м²,поверх 16 з 26,спец. проект,цегляний будинок,1982,Березняки
2317150 грн,"Дніпровська наб., 9а",3 кімнати,60 / - / 6 м²,поверх 9 з 9,чеський проект,панельні,1972,Березняки
3791700 грн,"вул. Юрія Шумського, 3г",2 кімнати,50 / - / 20 м²,поверх 14 з 25,спец. проект,монолітно-каркасний,2013,Березняки
2412900 грн,"просп. Павла Тичини, 5а",3 кімнати,65 / - / 7 м²,поверх 7 з 9,чеський проект,панельні,1969,Березняки
1378800 грн,"вул. Березняківська, 36",1 кімната,34 / - / 8 м²,поверх 4 з 16,БПС,утеплена панель,1973,Березняки
2872500 грн,"вул. Бучми, 8",3 кімнати,60 / - / 8 м²,поверх 4 з 16,БПС,утеплена панель,1970,Березняки
1646900 грн,"вул. Березняківська, 34б",1 кімната,22 / - / 15 м²,поверх 3 з 9,гостинка,цегляний будинок,1973,Березняки
3025700 грн,"вул. Юрія Шумського, 3г",1 кімната,47 / - / 11 м²,поверх 14 з 26,спец. проект,монолітно-каркасний,2013,Березняки
2757600 грн,"просп. Павла Тичини, 21",3 кімнати,68.1 / - / 6.7 м²,поверх 7 з 9,чеський проект,панельні,1969,Березняки
