price_main,title,rooms,area,floor,building_type,materials,year,district
2987400 грн,"вул. Ломоносова, 36в",1 кімната,43 / - / 10 м²,поверх 24 з 26,спец. проект,панельні,2018,Голосіїво
2642700 грн,"вул. Максимовича, 28б",1 кімната,41 / - / 17 м²,поверх 18 з 21,спец. проект,панельні,2018,Голосіїво
2757600 грн,"Коломийський пров., 17/31а",2 кімнати,58.9 / - / 7 м²,поверх 15 з 15,спец. проект,монолітно-каркасний,2011,Голосіїво
4021500 грн,"вул. Максимовича, 3д",1 кімната,53 / - / 14 м²,поверх 8 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
2412900 грн,"вул. Максимовича, 26",1 кімната,41.15 / - / 14.02 м²,поверх 13 з 21,спец. проект,цегляний будинок,2018,Голосіїво
5028407 грн,вул. Максимовича,2 кімнати,87 / - / 18 м²,поверх 3 з 19,спец. проект,панельні,2021,Голосіїво
1800100 грн,"просп. Голосіївський, 116а",1 кімната,31 / - / 6 м²,поверх 1 з 9,чеський проект,панельні,1972,Голосіїво
9192000 грн,"вул. Максимовича, 32а",3 кімнати,100 / - / 18 м²,поверх 17 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
3638500 грн,"вул. Максимовича, 28б",2 кімнати,60 / - / 16 м²,поверх 6 з 21,спец. проект,панельні,2018,Голосіїво
3638500 грн,"вул. Максимовича, 32а",1 кімната,50 / - / 23 м²,поверх 18 з 24,спец. проект,монолітно-каркасний,2021,Голосіїво
5553500 грн,"просп. Перемоги, 67к2",3 кімнати,85 / 47 / 11 м²,поверх 2 з 16,спец. проект,монолітно-каркасний,2019,Галагани
1838400 грн,"вул. Чистяківська, 11",1 кімната,34.5 / 19 / 8 м²,поверх 5 з 9,гостинка,цегляний будинок,1977,Галагани
4519400 грн,"просп. Перемоги, 67к1",3 кімнати,73 / 46 / 20 м²,поверх 3 з 16,спец. проект,монолітно-каркасний,2019,Галагани
3638500 грн,"просп. Перемоги, 71а",1 кімната,39.1 / 15 / 10.1 м²,поверх 2 з 16,спец. проект,монолітно-каркасний,2016,Галагани
4710900 грн,"просп. Перемоги, 67в",2 кімнати,63.6 / 30 / 11 м²,поверх 7 з 16,спец. проект,монолітно-каркасний,2019,Галагани
6319500 грн,"просп. Перемоги, 67к2",2 кімнати,68 / 30 / 35 м²,поверх 10 з 12,спец. проект,монолітно-каркасний,2019,Галагани
4979000 грн,"просп. Перемоги, 67к1",2 кімнати,62 / 30.1 / 12.1 м²,поверх 15 з 16,спец. проект,монолітно-каркасний,2019,Галагани
4940317 грн,"просп. Перемоги, 67в",3 кімнати,83 / 49 / 14 м²,поверх 11 з 17,спец. проект,монолітно-каркасний,2019,Галагани
