price_main,rooms,area,floor,building_type,materials,district,building_type_old,materials_old,district_old,house_age,price_per_meter,repair
1244750,1,24.5,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,55,50806,0.0
1206450,1,23.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,51,52454,0.0
4787500,3,93.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,18,51478,0.0
746850,1,20.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,54,37342,2.0
1417100,1,23.0,0,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,61613,1.0
7621700,4,100.0,1,0.349598808135342,0.5646424733950354,0.806081108260693,серія Т,утеплена панель,Академмістечко,30,76217,1.0
2489500,1,45.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,18,55322,0.0
5706700,3,75.0,1,0.7073302780849811,0.3894183423086505,0.806081108260693,сталінка,цегляний будинок,Академмістечко,65,76089,1.0
7277000,3,100.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,19,72770,1.0
1149000,1,22.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,50,52227,0.0
1895850,1,26.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,45,72917,1.0
4596000,3,84.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,18,54714,0.0
2336300,2,66.72,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,35016,2.0
4979000,3,131.5,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,21,37863,2.0
4404500,3,100.0,1,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,44045,0.0
3447000,1,57.4,0,0.0713678483400785,0.0,0.806081108260693,спец. проект,монолітно-каркасний,Академмістечко,5,60052,1.0
3600200,3,69.0,1,0.479425538604203,0.5646424733950354,0.806081108260693,серія 96,утеплена панель,Академмістечко,26,52177,0.0
1532000,1,35.0,1,0.6550778971785186,0.7173560908995228,0.806081108260693,чеський проект,панельні,Академмістечко,51,43771,0.0
1340500,1,26.0,1,0.7559753651467324,0.3894183423086505,0.806081108260693,гостинка,цегляний будинок,Академмістечко,59,51558,0.0
2987400,2,71.0,0,0.0713678483400785,0.7173560908995228,0.2835557243112417,спец. проект,панельні,Багринова гора,4,42076,1.0
2872500,1,50.0,0,0.415571854993052,0.5646424733950354,0.2835557243112417,АППС,утеплена панель,Багринова гора,9,57450,0.0
4596000,2,86.0,1,0.0713678483400785,0.0,0.2835557243112417,спец. проект,монолітно-каркасний,Багринова гора,15,53442,0.0
3944900,2,65.0,1,0.0713678483400785,0.0,0.2835557243112417,спец. проект,монолітно-каркасний,Багринова гора,10,60691,2.0
3255500,2,70.3,1,0.0713678483400785,0.7173560908995228,0.2835557243112417,спец. проект,панельні,Багринова гора,4,46309,1.0
2010750,1,39.0,1,0.7073302780849811,0.3894183423086505,0.2835557243112417,сталінка,цегляний будинок,Багринова гора,63,51558,0.0
5170500,3,92.0,1,0.0713678483400785,0.0,0.2835557243112417,спец. проект,монолітно-каркасний,Багринова гора,10,56201,0.0
2566100,1,42.0,1,0.0713678483400785,0.7173560908995228,0.2835557243112417,спец. проект,панельні,Багринова гора,4,61098,2.0
3791700,3,105.0,1,0.0713678483400785,0.0,0.2835557243112417,спец. проект,монолітно-каркасний,Багринова гора,15,36111,1.0
2872500,1,50.0,1,0.0713678483400785,0.0,0.2835557243112417,спец. проект,монолітно-каркасний,Багринова гора,10,57450,0.0
2757600,1,43.0,1,0.0713678483400785,0.7173560908995228,0.2835557243112417,спец. проект,панельні,Багринова гора,4,64130,2.0
3255500,3,62.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,52508,0.0
1528170,1,32.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,47755,0.0
3044850,3,73.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,41710,2.0
5936500,1,60.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,98942,1.0
2489500,3,60.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,41492,2.0
